iter	Passed	Remaining
0	165	165031
1	167	83752
2	169	56367
3	171	42589
4	172	34296
5	173	28759
6	174	24794
7	175	21802
8	176	19479
9	178	17622
10	178	16086
11	180	14862
12	181	13780
13	182	12844
14	183	12028
15	184	11318
16	184	10689
17	185	10131
18	186	9628
19	187	9175
20	188	8768
21	188	8396
22	189	8056
23	190	7744
24	191	7456
25	192	7203
26	193	6964
27	194	6736
28	194	6522
29	195	6323
30	196	6136
31	197	5962
32	197	5800
33	198	5646
34	199	5504
35	200	5368
36	201	5240
37	202	5118
38	202	5001
39	203	4891
40	204	4786
41	205	4686
42	206	4597
43	207	4506
44	208	4418
45	209	4335
46	209	4253
47	210	4177
48	211	4104
49	212	4033
50	213	3964
51	213	3899
52	214	3835
53	215	3774
54	216	3716
55	217	3662
56	218	3607
57	218	3552
58	219	3503
59	220	3456
60	221	3409
61	222	3363
62	223	3318
63	223	3274
64	224	3232
65	225	3191
66	226	3150
67	227	3112
68	227	3074
69	228	3037
70	229	3001
71	230	2967
72	231	2933
73	231	2901
74	232	2870
75	233	2839
76	234	2812
77	235	2784
78	236	2755
79	237	2728
80	237	2699
81	238	2672
82	239	2642
83	239	2616
84	240	2591
85	241	2566
86	242	2541
87	242	2516
88	243	2493
89	244	2470
90	245	2448
91	245	2427
92	246	2406
93	247	2386
94	248	2367
95	249	2349
96	250	2330
97	251	2310
98	251	2292
99	252	2274
100	253	2256
101	254	2239
102	255	2221
103	255	2204
104	256	2188
105	257	2173
106	258	2157
107	259	2141
108	260	2125
109	261	2111
110	261	2096
111	262	2081
112	263	2069
113	264	2055
114	265	2042
115	266	2028
116	266	2013
117	267	2000
118	268	1987
119	269	1974
120	270	1961
121	270	1947
122	271	1935
123	272	1923
124	273	1911
125	273	1899
126	274	1887
127	275	1875
128	276	1864
129	276	1853
130	278	1844
131	278	1834
132	279	1823
133	280	1812
134	281	1802
135	282	1792
136	282	1781
137	283	1771
138	284	1762
139	285	1752
140	286	1743
141	286	1732
142	287	1722
143	288	1713
144	289	1704
145	289	1695
146	290	1686
147	291	1677
148	292	1670
149	293	1662
150	294	1653
151	294	1645
152	295	1637
153	296	1629
154	297	1621
155	298	1613
156	299	1605
157	299	1597
158	300	1590
159	301	1582
160	301	1573
161	302	1566
162	303	1558
163	304	1551
164	305	1544
165	305	1537
166	307	1531
167	307	1524
168	308	1517
169	309	1511
170	310	1504
171	311	1498
172	311	1491
173	312	1485
174	313	1478
175	314	1471
176	315	1465
177	316	1459
178	316	1453
179	317	1446
180	318	1441
181	319	1435
182	320	1429
183	321	1424
184	322	1418
185	322	1412
186	323	1406
187	324	1401
188	325	1395
189	326	1390
190	326	1384
191	327	1379
192	328	1374
193	329	1368
194	330	1363
195	331	1357
196	331	1352
197	332	1347
198	333	1342
199	334	1337
200	335	1332
201	336	1328
202	337	1323
203	337	1318
204	338	1313
205	339	1308
206	340	1303
207	341	1299
208	341	1294
209	342	1289
210	343	1284
211	344	1280
212	345	1275
213	345	1270
214	346	1266
215	347	1261
216	348	1257
217	349	1252
218	350	1248
219	350	1244
220	351	1240
221	352	1235
222	353	1231
223	354	1227
224	355	1223
225	356	1219
226	356	1215
227	357	1210
228	358	1206
229	359	1202
230	360	1198
231	360	1194
232	361	1190
233	362	1186
234	363	1182
235	364	1178
236	365	1175
237	366	1172
238	366	1168
239	367	1164
240	368	1160
241	369	1156
242	370	1152
243	370	1149
244	371	1145
245	372	1141
246	373	1137
247	373	1133
248	374	1130
249	375	1126
250	376	1122
251	377	1119
252	377	1115
253	378	1112
254	379	1109
255	380	1106
256	381	1102
257	382	1099
258	382	1095
259	383	1092
260	384	1088
261	385	1085
262	386	1082
263	387	1078
264	387	1075
265	388	1072
266	389	1069
267	390	1065
268	390	1062
269	391	1059
270	392	1056
271	393	1053
272	394	1050
273	395	1047
274	395	1043
275	396	1040
276	397	1037
277	398	1034
278	399	1031
279	399	1028
280	400	1025
281	401	1022
282	402	1019
283	403	1016
284	403	1013
285	404	1010
286	405	1007
287	406	1004
288	407	1001
289	408	999
290	409	997
291	410	994
292	411	992
293	411	989
294	412	986
295	413	983
296	414	981
297	415	978
298	416	975
299	416	972
300	417	970
301	418	967
302	419	964
303	420	961
304	420	959
305	421	956
306	422	954
307	423	952
308	424	949
309	425	947
310	426	944
311	427	941
312	427	939
313	428	936
314	429	934
315	430	931
316	431	928
317	431	926
318	432	923
319	433	921
320	434	918
321	435	916
322	435	913
323	436	910
324	441	915
325	444	919
326	449	925
327	453	929
328	457	933
329	460	935
330	463	936
331	465	936
332	467	935
333	468	934
334	470	933
335	471	932
336	473	931
337	476	932
338	477	930
339	479	930
340	480	929
341	481	927
342	482	925
343	484	923
344	485	921
345	486	919
346	487	917
347	488	915
348	489	913
349	490	911
350	491	909
351	492	907
352	493	904
353	494	902
354	495	899
355	495	897
356	496	894
357	497	892
358	498	889
359	499	887
360	499	884
361	500	882
362	501	879
363	502	877
364	503	875
365	504	873
366	504	870
367	505	868
368	507	866
369	507	864
370	508	862
371	509	859
372	510	857
373	510	855
374	511	852
375	512	850
376	513	848
377	514	845
378	514	843
379	515	841
380	516	839
381	517	836
382	518	835
383	519	833
384	520	830
385	521	828
386	521	826
387	522	824
388	523	822
389	524	819
390	525	817
391	525	815
392	526	813
393	527	811
394	528	809
395	528	806
396	529	804
397	530	802
398	531	800
399	532	798
400	533	797
401	534	795
402	535	793
403	536	791
404	537	789
405	537	786
406	538	784
407	539	782
408	540	780
409	540	778
410	541	776
411	542	774
412	543	772
413	543	769
414	544	768
415	545	766
416	546	763
417	548	763
418	548	761
419	549	759
420	550	757
421	551	755
422	552	753
423	552	751
424	553	749
425	554	747
426	555	744
427	555	742
428	556	741
429	557	739
430	558	737
431	559	735
432	560	733
433	561	731
434	562	730
435	563	729
436	564	727
437	565	725
438	566	723
439	566	721
440	567	719
441	568	717
442	569	715
443	569	713
444	570	711
445	571	709
446	572	707
447	573	706
448	573	704
449	574	702
450	575	700
451	576	698
452	577	697
453	578	695
454	578	693
455	579	691
456	580	689
457	581	687
458	581	685
459	582	684
460	583	682
